Train:   0%|                                                                                                                           | 0/7584 [00:00<?, ?it/s][INFO:swift] use_logits_to_keep: False
[WARNING:swift] The cross_entropy loss function defined in Liger Kernel will not take effect, potentially leading to increased GPU memory consumption.
Train:   1%|▋                                                                                                               | 50/7584 [03:18<8:14:40,  3.94s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-50
{'loss': 0.09281956, 'grad_norm': 0.16019593, 'learning_rate': 0.0, 'token_acc': 0.7327006, 'epoch': 0.0, 'global_step/max_steps': '1/7584', 'percentage': '0.01%', 'elapsed_time': '4s', 'remaining_time': '9h 27m 45s', 'memory(GiB)': 22.03, 'train_speed(iter/s)': 0.2226}
{'loss': 0.09915774, 'grad_norm': 0.17988634, 'learning_rate': 1e-08, 'token_acc': 0.70429841, 'epoch': 0.0, 'global_step/max_steps': '5/7584', 'percentage': '0.07%', 'elapsed_time': '19s', 'remaining_time': '8h 6m 25s', 'memory(GiB)': 23.87, 'train_speed(iter/s)': 0.259684}
{'loss': 0.09634247, 'grad_norm': 0.17881365, 'learning_rate': 3e-08, 'token_acc': 0.72102321, 'epoch': 0.0, 'global_step/max_steps': '10/7584', 'percentage': '0.13%', 'elapsed_time': '39s', 'remaining_time': '8h 20m 55s', 'memory(GiB)': 23.87, 'train_speed(iter/s)': 0.251998}
{'loss': 0.09709062, 'grad_norm': 0.16727439, 'learning_rate': 4e-08, 'token_acc': 0.72419529, 'epoch': 0.0, 'global_step/max_steps': '15/7584', 'percentage': '0.20%', 'elapsed_time': '59s', 'remaining_time': '8h 18m 25s', 'memory(GiB)': 23.87, 'train_speed(iter/s)': 0.2531}
{'loss': 0.09551933, 'grad_norm': 0.17126969, 'learning_rate': 5e-08, 'token_acc': 0.72227911, 'epoch': 0.0, 'global_step/max_steps': '20/7584', 'percentage': '0.26%', 'elapsed_time': '1m 19s', 'remaining_time': '8h 22m 16s', 'memory(GiB)': 24.18, 'train_speed(iter/s)': 0.250995}
{'loss': 0.09550824, 'grad_norm': 0.17135149, 'learning_rate': 7e-08, 'token_acc': 0.71325435, 'epoch': 0.0, 'global_step/max_steps': '25/7584', 'percentage': '0.33%', 'elapsed_time': '1m 39s', 'remaining_time': '8h 19m 12s', 'memory(GiB)': 24.22, 'train_speed(iter/s)': 0.252366}
{'loss': 0.09662192, 'grad_norm': 0.21550772, 'learning_rate': 8e-08, 'token_acc': 0.72450185, 'epoch': 0.0, 'global_step/max_steps': '30/7584', 'percentage': '0.40%', 'elapsed_time': '2m 0s', 'remaining_time': '8h 23m 37s', 'memory(GiB)': 24.8, 'train_speed(iter/s)': 0.249986}
{'loss': 0.10228739, 'grad_norm': 0.18372709, 'learning_rate': 9e-08, 'token_acc': 0.67503458, 'epoch': 0.0, 'global_step/max_steps': '35/7584', 'percentage': '0.46%', 'elapsed_time': '2m 18s', 'remaining_time': '8h 16m 47s', 'memory(GiB)': 24.8, 'train_speed(iter/s)': 0.253262}
{'loss': 0.09695348, 'grad_norm': 0.1750952, 'learning_rate': 1.1e-07, 'token_acc': 0.70943203, 'epoch': 0.01, 'global_step/max_steps': '40/7584', 'percentage': '0.53%', 'elapsed_time': '2m 38s', 'remaining_time': '8h 18m 2s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.252459}
{'loss': 0.09169761, 'grad_norm': 0.19919595, 'learning_rate': 1.2e-07, 'token_acc': 0.72284207, 'epoch': 0.01, 'global_step/max_steps': '45/7584', 'percentage': '0.59%', 'elapsed_time': '2m 58s', 'remaining_time': '8h 18m 7s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.252247}
{'loss': 0.09553193, 'grad_norm': 0.18466046, 'learning_rate': 1.3e-07, 'token_acc': 0.71826525, 'epoch': 0.01, 'global_step/max_steps': '50/7584', 'percentage': '0.66%', 'elapsed_time': '3m 18s', 'remaining_time': '8h 18m 1s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.252131}
Train:   1%|█▍                                                                                                             | 100/7584 [06:43<8:30:43,  4.09s/it][INFO:swift] Saving model checkpoint to /home/team_cv/tdkien/ms-swift/output/v1-20251125-110813/checkpoint-100
{'loss': 0.09137524, 'grad_norm': 0.16834709, 'learning_rate': 1.4e-07, 'token_acc': 0.73919204, 'epoch': 0.01, 'global_step/max_steps': '55/7584', 'percentage': '0.73%', 'elapsed_time': '3m 43s', 'remaining_time': '8h 30m 53s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.245617}
{'loss': 0.09488829, 'grad_norm': 0.18621939, 'learning_rate': 1.6e-07, 'token_acc': 0.72830016, 'epoch': 0.01, 'global_step/max_steps': '60/7584', 'percentage': '0.79%', 'elapsed_time': '4m 4s', 'remaining_time': '8h 31m 12s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.245302}
{'loss': 0.09451654, 'grad_norm': 0.18169662, 'learning_rate': 1.7e-07, 'token_acc': 0.71550026, 'epoch': 0.01, 'global_step/max_steps': '65/7584', 'percentage': '0.86%', 'elapsed_time': '4m 23s', 'remaining_time': '8h 27m 26s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.246957}
{'loss': 0.09156373, 'grad_norm': 0.17133419, 'learning_rate': 1.8e-07, 'token_acc': 0.7308641, 'epoch': 0.01, 'global_step/max_steps': '70/7584', 'percentage': '0.92%', 'elapsed_time': '4m 43s', 'remaining_time': '8h 27m 7s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.246951}
{'loss': 0.09767459, 'grad_norm': 0.21357416, 'learning_rate': 2e-07, 'token_acc': 0.70546632, 'epoch': 0.01, 'global_step/max_steps': '75/7584', 'percentage': '0.99%', 'elapsed_time': '5m 3s', 'remaining_time': '8h 25m 39s', 'memory(GiB)': 24.81, 'train_speed(iter/s)': 0.2475}
